MATRICES	D_Count	H_Count
had(15,6,2,4,11,7,10,8)	512	354
had(15,6,11,7,2,4,10,8)	512	354
had(15,10,6,8,4,7,2,11)	512	354
had(15,10,4,7,6,8,2,11)	512	354
had(15,10,8,6,7,4,2,11)	512	354
had(15,10,7,4,8,6,2,11)	512	354
had(15,7,6,11,2,8,4,10)	512	354
had(15,7,2,8,6,11,4,10)	512	354
had(15,7,2,8,11,6,10,4)	512	354
had(15,7,11,6,2,8,10,4)	512	354
had(7,2,8,15,6,10,4,11)	512	354
had(7,2,6,10,8,15,4,11)	512	354
had(7,4,11,2,15,10,6,8)	512	354
had(7,4,10,15,2,11,6,8)	512	354
had(7,4,2,11,10,15,6,8)	512	354
had(7,4,15,10,11,2,6,8)	512	354
had(7,15,11,6,8,2,10,4)	512	354
had(7,15,8,2,11,6,10,4)	512	354
had(7,15,8,2,6,11,4,10)	512	354
had(7,15,6,11,8,2,4,10)	512	354
had(11,8,10,7,15,4,2,6)	512	354
had(11,8,15,4,10,7,2,6)	512	354
had(11,4,10,6,15,8,2,7)	512	354
had(11,4,15,8,10,6,2,7)	512	354
had(11,4,15,8,6,10,7,2)	512	354
had(11,4,6,10,15,8,7,2)	512	354
had(11,2,7,4,8,6,10,15)	512	354
had(11,2,8,6,7,4,10,15)	512	354
had(11,2,4,7,6,8,10,15)	512	354
had(11,2,6,8,4,7,10,15)	512	354
had(10,8,7,11,2,4,6,15)	512	354
had(10,8,11,7,2,4,15,6)	512	354
had(10,8,2,4,7,11,6,15)	512	354
had(10,8,2,4,11,7,15,6)	512	354
had(10,15,8,6,7,4,11,2)	512	354
had(10,15,7,4,8,6,11,2)	512	354
had(10,15,6,8,4,7,11,2)	512	354
had(10,15,4,7,6,8,11,2)	512	354
had(10,4,11,6,2,8,15,7)	512	354
had(10,4,2,8,11,6,15,7)	512	354
had(8,10,11,7,4,2,15,6)	512	354
had(8,10,7,11,4,2,6,15)	512	354
had(8,10,4,2,11,7,15,6)	512	354
had(8,10,4,2,7,11,6,15)	512	354
had(8,11,7,10,4,15,6,2)	512	354
had(8,11,4,15,7,10,6,2)	512	354
had(8,6,10,15,2,11,4,7)	512	354
had(8,6,11,2,15,10,4,7)	512	354
had(8,6,15,10,11,2,4,7)	512	354
had(8,6,2,11,10,15,4,7)	512	354
had(6,10,15,8,11,4,7,2)	512	356
had(6,10,11,4,15,8,7,2)	512	356
had(6,11,15,7,2,8,4,10)	512	356
had(6,11,2,8,15,7,4,10)	512	356
had(7,11,10,8,2,4,6,15)	512	356
had(7,11,2,4,10,8,6,15)	512	356
had(7,10,2,6,15,4,8,11)	512	356
had(7,10,15,4,2,6,8,11)	512	356
had(11,7,8,10,4,2,15,6)	512	356
had(11,7,4,2,8,10,15,6)	512	356
had(11,6,7,15,8,2,10,4)	512	356
had(11,6,8,2,7,15,10,4)	512	356
had(10,7,6,2,4,15,11,8)	512	356
had(10,7,4,15,6,2,11,8)	512	356
had(10,6,8,15,4,11,2,7)	512	356
had(10,6,4,11,8,15,2,7)	512	356
had(2,6,15,4,8,11,7,10)	512	358
had(2,6,11,8,10,7,15,4)	512	358
had(2,6,10,7,11,8,15,4)	512	358
had(2,6,8,11,15,4,7,10)	512	358
had(2,7,4,11,6,10,15,8)	512	358
had(2,7,4,11,15,8,6,10)	512	358
had(2,7,4,11,8,15,10,6)	512	358
had(2,7,6,10,4,11,15,8)	512	358
had(2,7,15,8,4,11,6,10)	512	358
had(2,7,11,4,10,6,15,8)	512	358
had(2,7,10,6,11,4,15,8)	512	358
had(2,7,8,15,4,11,10,6)	512	358
had(4,11,2,7,8,15,10,6)	512	358
had(4,11,6,10,7,2,8,15)	512	358
had(4,11,7,2,6,10,8,15)	512	358
had(4,11,8,15,2,7,10,6)	512	358
had(4,10,2,8,15,7,6,11)	512	358
had(4,10,15,7,2,8,6,11)	512	358
had(4,10,15,7,11,6,8,2)	512	358
had(4,10,15,7,8,2,11,6)	512	358
had(4,10,6,11,7,15,8,2)	512	358
had(4,10,11,6,15,7,8,2)	512	358
had(4,10,7,15,6,11,8,2)	512	358
had(4,10,8,2,15,7,11,6)	512	358
had(6,15,2,4,10,8,7,11)	512	358
had(6,15,4,2,10,8,11,7)	512	358
had(6,15,10,8,2,4,7,11)	512	358
had(6,15,10,8,4,2,11,7)	512	358
had(6,15,10,8,11,7,4,2)	512	358
had(6,15,8,10,7,11,4,2)	512	358
had(6,15,7,11,8,10,4,2)	512	358
had(6,15,11,7,10,8,4,2)	512	358
had(6,2,4,15,11,8,10,7)	512	358
had(6,2,8,11,7,10,4,15)	512	358
had(6,2,7,10,8,11,4,15)	512	358
had(6,2,11,8,4,15,10,7)	512	358
had(15,6,4,2,8,10,11,7)	512	358
had(15,6,2,4,8,10,7,11)	512	358
had(15,6,8,10,4,2,11,7)	512	358
had(15,6,8,10,2,4,7,11)	512	358
had(15,6,8,10,7,11,2,4)	512	358
had(15,6,10,8,11,7,2,4)	512	358
had(15,6,11,7,10,8,2,4)	512	358
had(15,6,7,11,8,10,2,4)	512	358
had(15,7,4,10,2,8,6,11)	512	358
had(15,7,2,8,4,10,6,11)	512	358
had(15,7,10,4,11,6,2,8)	512	358
had(15,7,11,6,10,4,2,8)	512	358
had(7,2,11,4,10,6,8,15)	512	358
had(7,2,11,4,8,15,10,6)	512	358
had(7,2,11,4,15,8,6,10)	512	358
had(7,2,10,6,11,4,8,15)	512	358
had(7,2,8,15,11,4,10,6)	512	358
had(7,2,4,11,6,10,8,15)	512	358
had(7,2,6,10,4,11,8,15)	512	358
had(7,2,15,8,11,4,6,10)	512	358
had(7,15,10,4,8,2,11,6)	512	358
had(7,15,8,2,10,4,11,6)	512	358
had(7,15,4,10,6,11,8,2)	512	358
had(7,15,6,11,4,10,8,2)	512	358
had(11,8,7,10,6,2,15,4)	512	358
had(11,8,10,7,2,6,15,4)	512	358
had(11,8,4,15,6,2,10,7)	512	358
had(11,8,2,6,10,7,15,4)	512	358
had(11,8,15,4,6,2,7,10)	512	358
had(11,8,6,2,7,10,15,4)	512	358
had(11,8,6,2,4,15,10,7)	512	358
had(11,8,6,2,15,4,7,10)	512	358
had(11,4,7,2,15,8,6,10)	512	358
had(11,4,10,6,2,7,15,8)	512	358
had(11,4,2,7,10,6,15,8)	512	358
had(11,4,15,8,7,2,6,10)	512	358
had(10,8,11,7,15,6,2,4)	512	358
had(10,8,6,15,2,4,7,11)	512	358
had(10,8,15,6,11,7,2,4)	512	358
had(10,8,2,4,6,15,7,11)	512	358
had(10,4,8,2,7,15,11,6)	512	358
had(10,4,7,15,8,2,11,6)	512	358
had(10,4,7,15,6,11,2,8)	512	358
had(10,4,7,15,2,8,6,11)	512	358
had(10,4,11,6,15,7,2,8)	512	358
had(10,4,6,11,7,15,2,8)	512	358
had(10,4,15,7,11,6,2,8)	512	358
had(10,4,2,8,7,15,6,11)	512	358
had(8,10,7,11,6,15,4,2)	512	358
had(8,10,15,6,4,2,11,7)	512	358
had(8,10,6,15,7,11,4,2)	512	358
had(8,10,4,2,15,6,11,7)	512	358
had(8,11,10,7,2,6,4,15)	512	358
had(8,11,7,10,6,2,4,15)	512	358
had(8,11,15,4,2,6,7,10)	512	358
had(8,11,6,2,7,10,4,15)	512	358
had(8,11,4,15,2,6,10,7)	512	358
had(8,11,2,6,10,7,4,15)	512	358
had(8,11,2,6,15,4,7,10)	512	358
had(8,11,2,6,4,15,10,7)	512	358
had(6,7,15,11,2,10,4,8)	512	360
had(6,7,2,10,15,11,4,8)	512	360
had(6,7,10,2,11,15,4,8)	512	360
had(6,7,11,15,10,2,4,8)	512	360
had(7,6,11,15,10,2,8,4)	512	360
had(7,6,10,2,11,15,8,4)	512	360
had(7,6,2,10,15,11,8,4)	512	360
had(7,6,15,11,2,10,8,4)	512	360
had(11,10,7,8,6,4,15,2)	512	360
had(11,10,8,7,4,6,15,2)	512	360
had(11,10,4,6,8,7,15,2)	512	360
had(11,10,6,4,7,8,15,2)	512	360
had(10,11,8,7,4,6,2,15)	512	360
had(10,11,7,8,6,4,2,15)	512	360
had(10,11,6,4,7,8,2,15)	512	360
had(10,11,4,6,8,7,2,15)	512	360
had(2,10,7,6,8,4,15,11)	512	362
had(2,10,8,4,7,6,15,11)	512	362
had(4,6,2,15,10,11,8,7)	512	362
had(4,6,10,11,2,15,8,7)	512	362
had(6,4,15,2,11,10,7,8)	512	362
had(6,4,11,10,15,2,7,8)	512	362
had(15,11,6,7,4,8,2,10)	512	362
had(15,11,4,8,6,7,2,10)	512	362
had(7,8,10,11,2,15,6,4)	512	362
had(7,8,2,15,10,11,6,4)	512	362
had(11,15,7,6,8,4,10,2)	512	362
had(11,15,8,4,7,6,10,2)	512	362
had(10,2,6,7,4,8,11,15)	512	362
had(10,2,4,8,6,7,11,15)	512	362
had(8,7,11,10,15,2,4,6)	512	362
had(8,7,15,2,11,10,4,6)	512	362
had(6,10,4,11,8,15,7,2)	512	364
had(6,10,8,15,4,11,7,2)	512	364
had(6,10,8,15,7,2,4,11)	512	364
had(6,10,7,2,8,15,4,11)	512	364
had(6,11,4,10,8,2,7,15)	512	364
had(6,11,8,2,4,10,7,15)	512	364
had(6,11,8,2,7,15,4,10)	512	364
had(6,11,7,15,8,2,4,10)	512	364
had(7,11,8,10,4,2,6,15)	512	364
had(7,11,4,2,8,10,6,15)	512	364
had(7,11,4,2,6,15,8,10)	512	364
had(7,11,6,15,4,2,8,10)	512	364
had(7,10,8,11,4,15,6,2)	512	364
had(7,10,4,15,8,11,6,2)	512	364
had(7,10,4,15,6,2,8,11)	512	364
had(7,10,6,2,4,15,8,11)	512	364
had(11,7,10,8,2,4,15,6)	512	364
had(11,7,2,4,10,8,15,6)	512	364
had(11,7,2,4,15,6,10,8)	512	364
had(11,7,15,6,2,4,10,8)	512	364
had(11,6,10,4,2,8,15,7)	512	364
had(11,6,2,8,10,4,15,7)	512	364
had(11,6,2,8,15,7,10,4)	512	364
had(11,6,15,7,2,8,10,4)	512	364
had(10,7,11,8,15,4,2,6)	512	364
had(10,7,15,4,11,8,2,6)	512	364
had(10,7,15,4,2,6,11,8)	512	364
had(10,7,2,6,15,4,11,8)	512	364
had(10,6,11,4,15,8,2,7)	512	364
had(10,6,15,8,11,4,2,7)	512	364
had(10,6,15,8,2,7,11,4)	512	364
had(10,6,2,7,15,8,11,4)	512	364
had(2,6,4,15,8,11,10,7)	512	366
had(2,6,7,10,8,11,15,4)	512	366
had(2,6,8,11,4,15,10,7)	512	366
had(2,6,8,11,7,10,15,4)	512	366
had(4,11,2,7,15,8,6,10)	512	366
had(4,11,2,7,10,6,8,15)	512	366
had(4,11,15,8,2,7,6,10)	512	366
had(4,11,10,6,2,7,8,15)	512	366
had(6,2,15,4,11,8,7,10)	512	366
had(6,2,10,7,11,8,4,15)	512	366
had(6,2,11,8,15,4,7,10)	512	366
had(6,2,11,8,10,7,4,15)	512	366
had(15,7,6,11,4,10,2,8)	512	366
had(15,7,4,10,6,11,2,8)	512	366
had(15,7,4,10,8,2,11,6)	512	366
had(15,7,8,2,4,10,11,6)	512	366
had(7,15,11,6,10,4,8,2)	512	366
had(7,15,10,4,11,6,8,2)	512	366
had(7,15,10,4,2,8,6,11)	512	366
had(7,15,2,8,10,4,6,11)	512	366
had(11,4,7,2,8,15,10,6)	512	366
had(11,4,7,2,6,10,15,8)	512	366
had(11,4,8,15,7,2,10,6)	512	366
had(11,4,6,10,7,2,15,8)	512	366
had(10,8,7,11,6,15,2,4)	512	366
had(10,8,6,15,7,11,2,4)	512	366
had(10,8,6,15,4,2,11,7)	512	366
had(10,8,4,2,6,15,11,7)	512	366
had(8,10,11,7,15,6,4,2)	512	366
had(8,10,15,6,11,7,4,2)	512	366
had(8,10,15,6,2,4,7,11)	512	366
had(8,10,2,4,15,6,7,11)	512	366
had(2,11,4,7,8,6,10,15)	512	370
had(2,11,8,6,4,7,10,15)	512	370
had(4,7,2,11,15,10,6,8)	512	370
had(4,7,15,10,2,11,6,8)	512	370
had(6,8,10,15,11,2,4,7)	512	370
had(6,8,11,2,10,15,4,7)	512	370
had(15,10,4,7,8,6,11,2)	512	370
had(15,10,8,6,4,7,11,2)	512	370
had(7,4,11,2,10,15,8,6)	512	370
had(7,4,10,15,11,2,8,6)	512	370
had(11,2,7,4,6,8,15,10)	512	370
had(11,2,6,8,7,4,15,10)	512	370
had(10,15,7,4,6,8,2,11)	512	370
had(10,15,6,8,7,4,2,11)	512	370
had(8,6,15,10,2,11,7,4)	512	370
had(8,6,2,11,15,10,7,4)	512	370
had(2,4,15,6,10,8,11,7)	512	372
had(2,4,10,8,15,6,11,7)	512	372
had(2,15,6,4,8,7,11,10)	512	372
had(2,15,8,7,6,4,11,10)	512	372
had(2,8,15,7,10,4,11,6)	512	372
had(2,8,10,4,15,7,11,6)	512	372
had(4,2,6,15,8,10,7,11)	512	372
had(4,2,8,10,6,15,7,11)	512	372
had(4,15,6,2,8,11,7,10)	512	372
had(4,15,8,11,6,2,7,10)	512	372
had(4,8,2,10,11,15,7,6)	512	372
had(4,8,11,15,2,10,7,6)	512	372
had(15,4,2,6,11,8,10,7)	512	372
had(15,4,11,8,2,6,10,7)	512	372
had(15,2,4,6,7,8,10,11)	512	372
had(15,2,7,8,4,6,10,11)	512	372
had(15,8,2,7,11,4,10,6)	512	372
had(15,8,11,4,2,7,10,6)	512	372
had(8,15,7,2,4,11,6,10)	512	372
had(8,15,4,11,7,2,6,10)	512	372
had(8,4,10,2,15,11,6,7)	512	372
had(8,4,15,11,10,2,6,7)	512	372
had(8,2,7,15,4,10,6,11)	512	372
had(8,2,4,10,7,15,6,11)	512	372
had(2,4,6,15,11,7,8,10)	512	376
had(2,4,15,6,11,7,10,8)	512	376
had(2,4,11,7,6,15,8,10)	512	376
had(2,4,11,7,15,6,10,8)	512	376
had(2,4,11,7,10,8,15,6)	512	376
had(2,4,10,8,11,7,15,6)	512	376
had(2,15,6,4,11,10,8,7)	512	376
had(2,15,11,10,6,4,8,7)	512	376
had(2,15,11,10,8,7,6,4)	512	376
had(2,15,8,7,11,10,6,4)	512	376
had(2,8,4,10,11,6,7,15)	512	376
had(2,8,15,7,11,6,10,4)	512	376
had(2,8,11,6,4,10,7,15)	512	376
had(2,8,11,6,15,7,10,4)	512	376
had(2,8,11,6,10,4,15,7)	512	376
had(2,8,10,4,11,6,15,7)	512	376
had(4,2,15,6,7,11,10,8)	512	376
had(4,2,6,15,7,11,8,10)	512	376
had(4,2,7,11,15,6,10,8)	512	376
had(4,2,7,11,6,15,8,10)	512	376
had(4,2,7,11,8,10,6,15)	512	376
had(4,2,8,10,7,11,6,15)	512	376
had(4,15,6,2,7,10,8,11)	512	376
had(4,15,11,8,7,10,2,6)	512	376
had(4,15,7,10,6,2,8,11)	512	376
had(4,15,7,10,11,8,2,6)	512	376
had(4,15,7,10,8,11,6,2)	512	376
had(4,15,8,11,7,10,6,2)	512	376
had(4,8,2,10,7,6,11,15)	512	376
had(4,8,11,15,7,6,2,10)	512	376
had(4,8,7,6,2,10,11,15)	512	376
had(4,8,7,6,11,15,2,10)	512	376
had(15,4,2,6,10,7,11,8)	512	376
had(15,4,8,11,10,7,6,2)	512	376
had(15,4,10,7,2,6,11,8)	512	376
had(15,4,10,7,8,11,6,2)	512	376
had(15,4,10,7,11,8,2,6)	512	376
had(15,4,11,8,10,7,2,6)	512	376
had(15,2,4,6,10,11,7,8)	512	376
had(15,2,10,11,4,6,7,8)	512	376
had(15,2,10,11,7,8,4,6)	512	376
had(15,2,7,8,10,11,4,6)	512	376
had(15,8,2,7,10,6,11,4)	512	376
had(15,8,10,6,2,7,11,4)	512	376
had(15,8,10,6,11,4,2,7)	512	376
had(15,8,10,6,7,2,4,11)	512	376
had(15,8,11,4,10,6,2,7)	512	376
had(15,8,7,2,10,6,4,11)	512	376
had(8,15,7,2,6,10,4,11)	512	376
had(8,15,6,10,7,2,4,11)	512	376
had(8,15,6,10,4,11,7,2)	512	376
had(8,15,6,10,2,7,11,4)	512	376
had(8,15,4,11,6,10,7,2)	512	376
had(8,15,2,7,6,10,11,4)	512	376
had(8,4,10,2,6,7,15,11)	512	376
had(8,4,15,11,6,7,10,2)	512	376
had(8,4,6,7,10,2,15,11)	512	376
had(8,4,6,7,15,11,10,2)	512	376
had(8,2,10,4,6,11,15,7)	512	376
had(8,2,7,15,6,11,4,10)	512	376
had(8,2,6,11,10,4,15,7)	512	376
had(8,2,6,11,7,15,4,10)	512	376
had(8,2,6,11,4,10,7,15)	512	376
had(8,2,4,10,6,11,7,15)	512	376
had(2,7,6,10,8,15,11,4)	512	378
had(2,7,8,15,6,10,11,4)	512	378
had(4,10,2,8,11,6,7,15)	512	378
had(4,10,11,6,2,8,7,15)	512	378
had(6,15,2,4,11,7,8,10)	512	378
had(6,15,11,7,2,4,8,10)	512	378
had(15,6,4,2,7,11,10,8)	512	378
had(15,6,7,11,4,2,10,8)	512	378
had(7,2,10,6,15,8,4,11)	512	378
had(7,2,15,8,10,6,4,11)	512	378
had(11,8,7,10,4,15,2,6)	512	378
had(11,8,4,15,7,10,2,6)	512	378
had(10,4,8,2,6,11,15,7)	512	378
had(10,4,6,11,8,2,15,7)	512	378
had(8,11,10,7,15,4,6,2)	512	378
had(8,11,15,4,10,7,6,2)	512	378
had(2,4,6,15,8,10,11,7)	512	380
had(2,4,8,10,6,15,11,7)	512	380
had(2,8,4,10,7,15,11,6)	512	380
had(2,8,7,15,4,10,11,6)	512	380
had(4,2,15,6,10,8,7,11)	512	380
had(4,2,10,8,15,6,7,11)	512	380
had(4,15,2,6,11,8,7,10)	512	380
had(4,15,11,8,2,6,7,10)	512	380
had(15,4,6,2,8,11,10,7)	512	380
had(15,4,8,11,6,2,10,7)	512	380
had(15,8,4,11,7,2,10,6)	512	380
had(15,8,7,2,4,11,10,6)	512	380
had(8,15,11,4,2,7,6,10)	512	380
had(8,15,2,7,11,4,6,10)	512	380
had(8,2,10,4,15,7,6,11)	512	380
had(8,2,15,7,10,4,6,11)	512	380
had(2,6,15,4,11,8,10,7)	512	382
had(2,6,11,8,15,4,10,7)	512	382
had(2,7,6,10,11,4,8,15)	512	382
had(2,7,15,8,11,4,10,6)	512	382
had(2,7,11,4,6,10,8,15)	512	382
had(2,7,11,4,15,8,10,6)	512	382
had(2,7,11,4,8,15,6,10)	512	382
had(2,7,8,15,11,4,6,10)	512	382
had(2,10,4,8,11,15,7,6)	512	382
had(2,10,6,7,11,15,8,4)	512	382
had(2,10,11,15,4,8,7,6)	512	382
had(2,10,11,15,6,7,8,4)	512	382
had(4,6,15,2,7,8,10,11)	512	382
had(4,6,11,10,7,8,2,15)	512	382
had(4,6,7,8,15,2,10,11)	512	382
had(4,6,7,8,11,10,2,15)	512	382
had(4,11,7,2,8,15,6,10)	512	382
had(4,11,8,15,7,2,6,10)	512	382
had(4,10,2,8,7,15,11,6)	512	382
had(4,10,11,6,7,15,2,8)	512	382
had(4,10,7,15,2,8,11,6)	512	382
had(4,10,7,15,11,6,2,8)	512	382
had(4,10,7,15,8,2,6,11)	512	382
had(4,10,8,2,7,15,6,11)	512	382
had(6,15,2,4,8,10,11,7)	512	382
had(6,15,4,2,8,10,7,11)	512	382
had(6,15,8,10,2,4,11,7)	512	382
had(6,15,8,10,4,2,7,11)	512	382
had(6,15,8,10,11,7,2,4)	512	382
had(6,15,11,7,8,10,2,4)	512	382
had(6,2,4,15,8,11,7,10)	512	382
had(6,2,8,11,4,15,7,10)	512	382
had(6,4,2,15,8,7,11,10)	512	382
had(6,4,10,11,8,7,15,2)	512	382
had(6,4,8,7,2,15,11,10)	512	382
had(6,4,8,7,10,11,15,2)	512	382
had(15,6,4,2,10,8,7,11)	512	382
had(15,6,2,4,10,8,11,7)	512	382
had(15,6,10,8,4,2,7,11)	512	382
had(15,6,10,8,2,4,11,7)	512	382
had(15,6,10,8,7,11,4,2)	512	382
had(15,6,7,11,10,8,4,2)	512	382
had(15,11,8,4,10,2,6,7)	512	382
had(15,11,10,2,8,4,6,7)	512	382
had(15,11,10,2,7,6,4,8)	512	382
had(15,11,7,6,10,2,4,8)	512	382
had(15,7,2,8,10,4,11,6)	512	382
had(15,7,10,4,2,8,11,6)	512	382
had(7,8,11,10,4,6,2,15)	512	382
had(7,8,4,6,11,10,2,15)	512	382
had(7,8,4,6,15,2,10,11)	512	382
had(7,8,15,2,4,6,10,11)	512	382
had(7,2,10,6,4,11,15,8)	512	382
had(7,2,8,15,4,11,6,10)	512	382
had(7,2,4,11,10,6,15,8)	512	382
had(7,2,4,11,8,15,6,10)	512	382
had(7,2,4,11,15,8,10,6)	512	382
had(7,2,15,8,4,11,10,6)	512	382
had(7,15,8,2,4,10,6,11)	512	382
had(7,15,4,10,8,2,6,11)	512	382
had(11,8,7,10,2,6,4,15)	512	382
had(11,8,4,15,2,6,7,10)	512	382
had(11,8,2,6,7,10,4,15)	512	382
had(11,8,2,6,4,15,7,10)	512	382
had(11,8,2,6,15,4,10,7)	512	382
had(11,8,15,4,2,6,10,7)	512	382
had(11,4,2,7,15,8,10,6)	512	382
had(11,4,15,8,2,7,10,6)	512	382
had(11,15,4,8,2,10,7,6)	512	382
had(11,15,2,10,4,8,7,6)	512	382
had(11,15,2,10,6,7,8,4)	512	382
had(11,15,6,7,2,10,8,4)	512	382
had(10,8,15,6,2,4,11,7)	512	382
had(10,8,2,4,15,6,11,7)	512	382
had(10,2,8,4,15,11,6,7)	512	382
had(10,2,7,6,15,11,4,8)	512	382
had(10,2,15,11,8,4,6,7)	512	382
had(10,2,15,11,7,6,4,8)	512	382
had(10,4,8,2,15,7,6,11)	512	382
had(10,4,6,11,15,7,8,2)	512	382
had(10,4,15,7,8,2,6,11)	512	382
had(10,4,15,7,6,11,8,2)	512	382
had(10,4,15,7,2,8,11,6)	512	382
had(10,4,2,8,15,7,11,6)	512	382
had(8,10,6,15,4,2,7,11)	512	382
had(8,10,4,2,6,15,7,11)	512	382
had(8,11,10,7,6,2,15,4)	512	382
had(8,11,15,4,6,2,10,7)	512	382
had(8,11,6,2,10,7,15,4)	512	382
had(8,11,6,2,15,4,10,7)	512	382
had(8,11,6,2,4,15,7,10)	512	382
had(8,11,4,15,6,2,7,10)	512	382
had(8,7,10,11,6,4,15,2)	512	382
had(8,7,6,4,10,11,15,2)	512	382
had(8,7,6,4,2,15,11,10)	512	382
had(8,7,2,15,6,4,11,10)	512	382
had(2,4,11,7,8,10,6,15)	512	384
had(2,4,8,10,11,7,6,15)	512	384
had(2,15,4,6,11,10,7,8)	512	384
had(2,15,7,8,11,10,4,6)	512	384
had(2,15,11,10,4,6,7,8)	512	384
had(2,15,11,10,7,8,4,6)	512	384
had(2,8,7,15,11,6,4,10)	512	384
had(2,8,11,6,7,15,4,10)	512	384
had(4,2,7,11,10,8,15,6)	512	384
had(4,2,10,8,7,11,15,6)	512	384
had(4,15,2,6,7,10,11,8)	512	384
had(4,15,7,10,2,6,11,8)	512	384
had(4,8,15,11,7,6,10,2)	512	384
had(4,8,7,6,15,11,10,2)	512	384
had(4,8,7,6,10,2,15,11)	512	384
had(4,8,10,2,7,6,15,11)	512	384
had(6,7,2,10,11,15,8,4)	512	384
had(6,7,11,15,2,10,8,4)	512	384
had(15,4,6,2,10,7,8,11)	512	384
had(15,4,10,7,6,2,8,11)	512	384
had(15,2,6,4,10,11,8,7)	512	384
had(15,2,8,7,10,11,6,4)	512	384
had(15,2,10,11,6,4,8,7)	512	384
had(15,2,10,11,8,7,6,4)	512	384
had(15,8,4,11,10,6,7,2)	512	384
had(15,8,10,6,4,11,7,2)	512	384
had(7,6,10,2,15,11,4,8)	512	384
had(7,6,15,11,10,2,4,8)	512	384
had(11,10,7,8,4,6,2,15)	512	384
had(11,10,4,6,7,8,2,15)	512	384
had(10,11,8,7,6,4,15,2)	512	384
had(10,11,6,4,8,7,15,2)	512	384
had(8,15,11,4,6,10,2,7)	512	384
had(8,15,6,10,11,4,2,7)	512	384
had(8,4,11,15,6,7,2,10)	512	384
had(8,4,6,7,11,15,2,10)	512	384
had(8,4,6,7,2,10,11,15)	512	384
had(8,4,2,10,6,7,11,15)	512	384
had(8,2,15,7,6,11,10,4)	512	384
had(8,2,6,11,15,7,10,4)	512	384
had(2,10,4,8,7,6,11,15)	512	386
had(2,10,6,7,8,4,11,15)	512	386
had(2,10,7,6,4,8,11,15)	512	386
had(2,10,8,4,6,7,11,15)	512	386
had(4,6,2,15,11,10,7,8)	512	386
had(4,6,15,2,10,11,7,8)	512	386
had(4,6,11,10,2,15,7,8)	512	386
had(4,6,10,11,15,2,7,8)	512	386
had(6,4,15,2,10,11,8,7)	512	386
had(6,4,2,15,11,10,8,7)	512	386
had(6,4,10,11,15,2,8,7)	512	386
had(6,4,11,10,2,15,8,7)	512	386
had(15,11,6,7,8,4,10,2)	512	386
had(15,11,4,8,7,6,10,2)	512	386
had(15,11,8,4,6,7,10,2)	512	386
had(15,11,7,6,4,8,10,2)	512	386
had(7,8,11,10,2,15,4,6)	512	386
had(7,8,10,11,15,2,4,6)	512	386
had(7,8,2,15,11,10,4,6)	512	386
had(7,8,15,2,10,11,4,6)	512	386
had(11,15,7,6,4,8,2,10)	512	386
had(11,15,8,4,6,7,2,10)	512	386
had(11,15,4,8,7,6,2,10)	512	386
had(11,15,6,7,8,4,2,10)	512	386
had(10,2,8,4,6,7,15,11)	512	386
had(10,2,7,6,4,8,15,11)	512	386
had(10,2,6,7,8,4,15,11)	512	386
had(10,2,4,8,7,6,15,11)	512	386
had(8,7,10,11,15,2,6,4)	512	386
had(8,7,11,10,2,15,6,4)	512	386
had(8,7,15,2,10,11,6,4)	512	386
had(8,7,2,15,11,10,6,4)	512	386
had(2,15,4,6,7,8,11,10)	512	388
had(2,15,7,8,4,6,11,10)	512	388
had(4,8,15,11,10,2,7,6)	512	388
had(4,8,10,2,15,11,7,6)	512	388
had(6,10,2,7,8,15,11,4)	512	388
had(6,10,8,15,2,7,11,4)	512	388
had(6,7,2,10,8,4,11,15)	512	388
had(6,7,8,4,2,10,11,15)	512	388
had(6,7,8,4,11,15,2,10)	512	388
had(6,7,11,15,8,4,2,10)	512	388
had(6,11,10,4,8,2,15,7)	512	388
had(6,11,8,2,10,4,15,7)	512	388
had(15,2,6,4,8,7,10,11)	512	388
had(15,2,8,7,6,4,10,11)	512	388
had(7,11,4,2,15,6,10,8)	512	388
had(7,11,15,6,4,2,10,8)	512	388
had(7,10,11,8,4,15,2,6)	512	388
had(7,10,4,15,11,8,2,6)	512	388
had(7,6,10,2,4,8,15,11)	512	388
had(7,6,4,8,10,2,15,11)	512	388
had(7,6,4,8,15,11,10,2)	512	388
had(7,6,15,11,4,8,10,2)	512	388
had(11,7,2,4,6,15,8,10)	512	388
had(11,7,6,15,2,4,8,10)	512	388
had(11,10,7,8,2,15,4,6)	512	388
had(11,10,4,6,2,15,7,8)	512	388
had(11,10,2,15,7,8,4,6)	512	388
had(11,10,2,15,4,6,7,8)	512	388
had(11,6,4,10,2,8,7,15)	512	388
had(11,6,2,8,4,10,7,15)	512	388
had(10,7,8,11,15,4,6,2)	512	388
had(10,7,15,4,8,11,6,2)	512	388
had(10,11,8,7,15,2,6,4)	512	388
had(10,11,6,4,15,2,8,7)	512	388
had(10,11,15,2,8,7,6,4)	512	388
had(10,11,15,2,6,4,8,7)	512	388
had(10,6,7,2,15,8,4,11)	512	388
had(10,6,15,8,7,2,4,11)	512	388
had(8,4,11,15,2,10,6,7)	512	388
had(8,4,2,10,11,15,6,7)	512	388
had(2,6,4,15,11,8,7,10)	512	390
had(2,6,7,10,11,8,4,15)	512	390
had(2,6,11,8,4,15,7,10)	512	390
had(2,6,11,8,7,10,4,15)	512	390
had(2,10,7,6,11,15,4,8)	512	390
had(2,10,11,15,7,6,4,8)	512	390
